,agent,task,seed,frame,episode_reward,hour
0,DrQ-v2,finger_turn_easy,1,0,300.0,1.5895234213934999e-06
1,DrQ-v2,finger_turn_easy,1,20000,100.0,0.044089465075069
2,DrQ-v2,finger_turn_easy,1,40000,300.3,0.0937025456958347
3,DrQ-v2,finger_turn_easy,1,60000,101.4,0.14413948522673714
4,DrQ-v2,finger_turn_easy,1,80000,199.0,0.19435323231750065
5,DrQ-v2,finger_turn_easy,1,100000,100.3,0.24386119445164997
6,DrQ-v2,finger_turn_easy,1,120000,206.4,0.29372786104679116
7,DrQ-v2,finger_turn_easy,1,140000,200.0,0.34317969103654217
8,DrQ-v2,finger_turn_easy,1,160000,0.9,0.3933328631851408
9,DrQ-v2,finger_turn_easy,1,180000,199.5,0.44367883139186437
10,DrQ-v2,finger_turn_easy,1,200000,399.0,0.4941512524419361
11,DrQ-v2,finger_turn_easy,1,220000,594.3,0.5442655199766159
12,DrQ-v2,finger_turn_easy,1,240000,199.1,0.594760867357254
13,DrQ-v2,finger_turn_easy,1,260000,199.1,0.6441125765111712
14,DrQ-v2,finger_turn_easy,1,280000,201.1,0.6950600586334864
15,DrQ-v2,finger_turn_easy,1,300000,296.3,0.7447551349136564
16,DrQ-v2,finger_turn_easy,1,320000,101.1,0.7948048979706235
17,DrQ-v2,finger_turn_easy,1,340000,0.0,0.8446497311194737
18,DrQ-v2,finger_turn_easy,1,360000,0.0,0.8955443597502178
19,DrQ-v2,finger_turn_easy,1,380000,0.0,0.9459843322965834
20,DrQ-v2,finger_turn_easy,1,400000,308.5,0.9964640256431367
21,DrQ-v2,finger_turn_easy,1,420000,297.7,1.0473461106088426
22,DrQ-v2,finger_turn_easy,1,440000,288.9,1.0977320469088026
23,DrQ-v2,finger_turn_easy,1,460000,199.1,1.147209609548251
24,DrQ-v2,finger_turn_easy,1,480000,335.4,1.1980527815553876
25,DrQ-v2,finger_turn_easy,1,500000,195.4,1.2481138865815269
26,DrQ-v2,finger_turn_easy,1,520000,87.1,1.2977861606412464
27,DrQ-v2,finger_turn_easy,1,540000,195.0,1.349064731001854
28,DrQ-v2,finger_turn_easy,1,560000,200.0,1.3996809136867523
29,DrQ-v2,finger_turn_easy,1,580000,492.3,1.449391048219469
30,DrQ-v2,finger_turn_easy,1,600000,280.0,1.4994281325737635
31,DrQ-v2,finger_turn_easy,1,620000,81.8,1.549453792836931
32,DrQ-v2,finger_turn_easy,1,640000,223.1,1.6002165616883173
33,DrQ-v2,finger_turn_easy,1,660000,594.8,1.6505310879151027
34,DrQ-v2,finger_turn_easy,1,680000,772.1,1.7008337467246586
35,DrQ-v2,finger_turn_easy,1,700000,595.1,1.7506817956765492
36,DrQ-v2,finger_turn_easy,1,720000,421.0,1.8004700786537595
37,DrQ-v2,finger_turn_easy,1,740000,543.8,1.851652133067449
38,DrQ-v2,finger_turn_easy,1,760000,383.5,1.9020923396613862
39,DrQ-v2,finger_turn_easy,1,780000,297.5,1.95225420958466
40,DrQ-v2,finger_turn_easy,1,800000,683.1,2.002070323228836
41,DrQ-v2,finger_turn_easy,1,820000,634.9,2.05278273291058
42,DrQ-v2,finger_turn_easy,1,840000,429.6,2.1036183169815277
43,DrQ-v2,finger_turn_easy,1,860000,554.0,2.1543040437168544
44,DrQ-v2,finger_turn_easy,1,880000,623.5,2.2053979386885962
45,DrQ-v2,finger_turn_easy,1,900000,664.5,2.2566281076934604
46,DrQ-v2,finger_turn_easy,1,920000,557.4,2.3068986989392175
47,DrQ-v2,finger_turn_easy,1,940000,574.9,2.357252448797226
48,DrQ-v2,finger_turn_easy,1,960000,686.2,2.407975023852454
49,DrQ-v2,finger_turn_easy,1,980000,466.0,2.4593081827958425
50,DrQ-v2,finger_turn_easy,1,1000000,674.8,2.509597095913357
51,DrQ-v2,finger_turn_easy,1,1020000,388.5,2.55945864101251
52,DrQ-v2,finger_turn_easy,1,1040000,609.7,2.6096381835805045
53,DrQ-v2,finger_turn_easy,1,1060000,560.0,2.6600785584582223
54,DrQ-v2,finger_turn_easy,1,1080000,481.3,2.710759522451294
55,DrQ-v2,finger_turn_easy,1,1100000,749.1,2.7617860052982968
56,DrQ-v2,finger_turn_easy,1,1120000,669.9,2.8117461921109093
57,DrQ-v2,finger_turn_easy,1,1140000,564.6,2.861582110789087
58,DrQ-v2,finger_turn_easy,1,1160000,627.6,2.9119516386588415
59,DrQ-v2,finger_turn_easy,1,1180000,719.5,2.963435142967436
60,DrQ-v2,finger_turn_easy,1,1200000,812.0,3.0147138908836575
61,DrQ-v2,finger_turn_easy,1,1220000,950.0,3.064499789675077
62,DrQ-v2,finger_turn_easy,1,1240000,900.5,3.1151259287860653
63,DrQ-v2,finger_turn_easy,1,1260000,835.3,3.1662998409403693
64,DrQ-v2,finger_turn_easy,1,1280000,592.6,3.216964516573482
65,DrQ-v2,finger_turn_easy,1,1300000,887.3,3.2671476978725855
66,DrQ-v2,finger_turn_easy,1,1320000,820.0,3.317926944030656
67,DrQ-v2,finger_turn_easy,1,1340000,729.1,3.3681513318750596
68,DrQ-v2,finger_turn_easy,1,1360000,938.2,3.419077347583241
69,DrQ-v2,finger_turn_easy,1,1380000,971.5,3.4699081144067976
70,DrQ-v2,finger_turn_easy,1,1400000,838.0,3.519894605941243
71,DrQ-v2,finger_turn_easy,1,1420000,822.9,3.5710596729649438
72,DrQ-v2,finger_turn_easy,1,1440000,930.1,3.6216224898894627
73,DrQ-v2,finger_turn_easy,1,1460000,787.4,3.6717861525879965
74,DrQ-v2,finger_turn_easy,1,1480000,958.3,3.7219822999503878
75,DrQ-v2,finger_turn_easy,1,1500000,791.2,3.773284787668122
76,DrQ-v2,finger_turn_easy,1,1520000,868.3,3.8242208216587703
77,DrQ-v2,finger_turn_easy,1,1540000,776.3,3.8745399150583477
78,DrQ-v2,finger_turn_easy,1,1560000,949.7,3.925703138377931
79,DrQ-v2,finger_turn_easy,1,1580000,847.2,3.97562200182014
80,DrQ-v2,finger_turn_easy,1,1600000,955.7,4.025389841794968
81,DrQ-v2,finger_turn_easy,1,1620000,970.5,4.077041420406766
82,DrQ-v2,finger_turn_easy,1,1640000,858.3,4.129135986765226
83,DrQ-v2,finger_turn_easy,1,1660000,963.0,4.1799716306395
84,DrQ-v2,finger_turn_easy,1,1680000,855.5,4.2313337762488255
85,DrQ-v2,finger_turn_easy,1,1700000,782.8,4.28164297706551
86,DrQ-v2,finger_turn_easy,1,1720000,932.8,4.332120084365209
87,DrQ-v2,finger_turn_easy,1,1740000,966.5,4.382856704195341
88,DrQ-v2,finger_turn_easy,1,1760000,846.2,4.433645993338691
89,DrQ-v2,finger_turn_easy,1,1780000,968.8,4.484508654210303
90,DrQ-v2,finger_turn_easy,1,1800000,882.0,4.535013933645354
91,DrQ-v2,finger_turn_easy,1,1820000,969.7,4.585849490298165
92,DrQ-v2,finger_turn_easy,1,1840000,916.8,4.637117444409265
93,DrQ-v2,finger_turn_easy,1,1860000,918.9,4.687962366806136
94,DrQ-v2,finger_turn_easy,1,1880000,943.1,4.73831233004729
95,DrQ-v2,finger_turn_easy,1,1900000,976.2,4.789075158900685
96,DrQ-v2,finger_turn_easy,1,1920000,965.0,4.839274263448186
97,DrQ-v2,finger_turn_easy,1,1940000,983.5,4.889457668595844
98,DrQ-v2,finger_turn_easy,1,1960000,954.6,4.939985050757726
99,DrQ-v2,finger_turn_easy,1,1980000,954.0,4.990997358693017
100,DrQ-v2,finger_turn_easy,1,2000000,865.4,5.041207154260741
101,DrQ-v2,finger_turn_easy,1,2020000,953.0,5.0924918293952945
102,DrQ-v2,finger_turn_easy,1,2040000,843.2,5.142527063952552
103,DrQ-v2,finger_turn_easy,1,2060000,891.4,5.19366849038336
104,DrQ-v2,finger_turn_easy,1,2080000,951.5,5.245133381750848
105,DrQ-v2,finger_turn_easy,1,2100000,965.8,5.2961012230316795
106,DrQ-v2,finger_turn_easy,1,2120000,887.8,5.34644961853822
107,DrQ-v2,finger_turn_easy,1,2140000,953.5,5.397669427129958
108,DrQ-v2,finger_turn_easy,1,2160000,977.5,5.449266652266185
109,DrQ-v2,finger_turn_easy,1,2180000,954.4,5.499736997418934
110,DrQ-v2,finger_turn_easy,1,2200000,967.1,5.549923274980651
111,DrQ-v2,finger_turn_easy,1,2220000,962.4,5.601074730753899
112,DrQ-v2,finger_turn_easy,1,2240000,962.6,5.652454524503814
113,DrQ-v2,finger_turn_easy,1,2260000,872.2,5.702959765063392
114,DrQ-v2,finger_turn_easy,1,2280000,987.6,5.754106141130128
115,DrQ-v2,finger_turn_easy,1,2300000,844.1,5.804884786274699
116,DrQ-v2,finger_turn_easy,1,2320000,873.9,5.856119967036778
117,DrQ-v2,finger_turn_easy,1,2340000,964.9,5.906392663982181
118,DrQ-v2,finger_turn_easy,1,2360000,837.9,5.9577230390575195
119,DrQ-v2,finger_turn_easy,1,2380000,973.7,6.00864653772778
120,DrQ-v2,finger_turn_easy,1,2400000,976.8,6.05913587225808
121,DrQ-v2,finger_turn_easy,1,2420000,950.0,6.109781875809034
122,DrQ-v2,finger_turn_easy,1,2440000,964.2,6.16087898976273
123,DrQ-v2,finger_turn_easy,1,2460000,955.7,6.211195206046105
124,DrQ-v2,finger_turn_easy,1,2480000,971.1,6.261586971680323
125,DrQ-v2,finger_turn_easy,1,2500000,968.0,6.312716051472558
126,DrQ-v2,finger_turn_easy,1,2520000,975.7,6.363196329143312
127,DrQ-v2,finger_turn_easy,1,2540000,945.5,6.413262850178612
128,DrQ-v2,finger_turn_easy,1,2560000,963.2,6.464564051694341
129,DrQ-v2,finger_turn_easy,1,2580000,963.2,6.514775357180172
130,DrQ-v2,finger_turn_easy,1,2600000,965.6,6.5644529249933035
131,DrQ-v2,finger_turn_easy,1,2620000,969.1,6.615316729015774
132,DrQ-v2,finger_turn_easy,1,2640000,869.9,6.666171027885543
133,DrQ-v2,finger_turn_easy,1,2660000,912.6,6.716664065917333
134,DrQ-v2,finger_turn_easy,1,2680000,957.4,6.7677508207824495
135,DrQ-v2,finger_turn_easy,1,2700000,965.8,6.818812558121151
136,DrQ-v2,finger_turn_easy,1,2720000,960.6,6.869865214758449
137,DrQ-v2,finger_turn_easy,1,2740000,975.3,6.921045078105396
138,DrQ-v2,finger_turn_easy,1,2760000,983.6,6.971607309116258
139,DrQ-v2,finger_turn_easy,1,2780000,874.0,7.022307909329733
140,DrQ-v2,finger_turn_easy,1,2800000,964.7,7.073525409897169
141,DrQ-v2,finger_turn_easy,1,2820000,872.2,7.12423210243384
142,DrQ-v2,finger_turn_easy,1,2840000,973.2,7.1747529788812
143,DrQ-v2,finger_turn_easy,1,2860000,970.2,7.2259222677681185
144,DrQ-v2,finger_turn_easy,1,2880000,980.4,7.275901226732467
145,DrQ-v2,finger_turn_easy,1,2900000,977.6,7.326516832907995
146,DrQ-v2,finger_turn_easy,1,2920000,889.5,7.3774758908483715
147,DrQ-v2,finger_turn_easy,1,2940000,964.1,7.428922995527586
148,DrQ-v2,finger_turn_easy,1,2960000,989.8,7.480061410930422
149,DrQ-v2,finger_turn_easy,1,2980000,973.9,7.531087756819195
0,DrQ-v2,finger_turn_easy,2,0,100.0,1.1127524905734445e-06
